Z	L	D
ሕዚ ግን ዝጎደለ ነገር ከም ዘሎ ይስመዐኒ ኣሉ።	ኸዚ ግን ልጎደለ ነገር ሃም ለሎ ይስመዐንሎ።	ሐዚ ግን ድጎደለ ነገር ሃም ድንሆ ስምዐንሎ።
አስካብ ሎሚ ኣዲስ ኣበባ፣ ዋላ ንሓደ መዓልቲ፣ ገዛይ ዝኾነት መሲላ ተሰሚዓትኒ ኣይትፈልጥን።	ክሻዕ ሎሚ ኣዲስ ኣበባ፣ ዋላ ልሓደ መዓልቲ፣ ገዛይ ልኾነት መሲላ ተሰሚዓትኒ ኣይትፈልጥይ።	ካዞኽቲ ኣድስ ኣበባ፣ ዋላ ድሓደ ምዓልቲ፣ ዓደይ ድኾነት መስላ ትሰምዑኒ ኣይፈልጥይ።
ንምንታይ ከም ዝኾነ ኣይፈልጥን፡፡	ልምንታይ ሃም ልኾነ ኣይፈልጥይ፡፡	ድምንታይ ሃምድኾነ ኣይፈልጥይ።
ኣብ ዝኸድክዎ ኩሉ ከምኡ ዝስመዐኒ እንተኾይኑ እውን ኣይፈልጥን፣ ካብ ደገ ዘይኮነስ ካብ ውሸጠይ ዝነጎደለ ስለ ዘሎ እንተኾይኑ ኣይፈልጥን።	ኣብ ልኸድክዎ ኹሉ ሃምኡ ልስመዐኒ ተኾይኑለ ኣይፈልጥይ፣ ካብ ደገ ለይኾነስ ካብ ውሸጠይ ልተደጎለ ስለ ለሎ ተኾይኑ ኣይፈልጥይ።	ኣብ ድኸድኹዎ ኹሉ ሃምኡ ድስመዐኒ እንድሕር ኾይኑለ ኣይፈልጥይ፣ ካደገ ተይኾነ ካውሽጠይ ድጎደለ እንሆ እንድሕር ኾይኑ ኣይፈልጥይ።
ስራሕ ኣብ ዝደልየሉ እዋን ንሓደ፣ ከልተ ወርሒ ኣብ ኣከሱም ፀኒሐ ነይረ።	ስራሕ ኣብ ልደልየሉ ግዜ/ወቕቲ ልሓደ፣ ኽልተ ወርሒ ኣብ ኣኽሱም ፀኒሐ ነይረ።	ስራሕ ኣብ ድዳልየሉ ሰዓት ድሓደ፣ ኽልተ ወርሒ ኣብ ኣክሱም ፀንሐ ነብረ።
ኣክሱም እንትኣትው፣ ክይረኣኽዋ ነዊሕ ግዘ ከም ዝኾነኒ፣ ወይ ከዓ ስባት ቃሕ ክም ዝበለኒ እንትነግሮም “ተመርዓው" ይብሉኒ።	ኣኅሱም ትትኣትው፣ ተይረኣኽዋ ነዊሕ ግዘ ሃም ልኾነኒ፣ ወይ ለለ ስባት ቃሕ ሃም ልበለኒ እንትነግሮም “ተመርዐ" ይብሉኒ።	ኣክሱም ትገብእለኹ፣ ተይረኣኹዋ ብዙሕ ግዜ ድኾነኒ፣ ወይለ ሰብ ቓሕ ሃም ድበለኒ ታውግዕለኹዎም “ትሞርዖው” ይኦም ድውሉኒ።
ወይለይ ምምርዓው ዶ ቀሊል ነገር ጌርምዎ?	ወይለይ ምምርዓው ዶ ቐሊል ነገር ጌርምዎ?	ወይለይ ምምርዓው እሽውልኻ ቓልል ነገርዶ ጎውሮሞ?
ንነገሩ ቀሊል ነገርስ እባ ነይሩ፡፡	ልነገሩ ቐሊል ነገርስባ ነይሩ፡፡	ድነገሩ ቓልልባ ነውሩ፡፡
ቆልዑት ኣብቲ ሓዊ ዕድመ እንትበፅሑ ወለዲ የመራዕውዎም ነይርም፡፡	ቆልዑት ኣብቲ ሓዊ ዕድመ ትትበፅሑ ወለዲ የመራዕውዎም ነይርም፡፡	ቖልዑት ኣፍቲ ሓዊ ዕድመ ትበፅሕለዩ ወለዲ ያመርዕውዎም ነውሮም።
ስርሑ መሸኒት ጠጠው ምባል ጥራሕ እንተኾይኑ ስልጣነ የብቅዐላ።	ስርሑ መሸኒት ደው ምባል ጥራሕ ተኾይኑ ስልጣነ የብቅዐላ።	ስራሑ መሸኒ ደው ምባል ጥራሕ እንድሕር ኾይኑ ስልጣነ ኾና።
ነዚ ዝፈለጡ ጥነታውያነ ወለዲ ንደቆም ብግዘ ብምምርዓው “ገዲም ናብ ስራሕ፣ መሸኒ ኣይትተነኻኽፋ” ይብልዎም፡፡	ልዙይ ልፈለጡ ጥንታውያን ወለዲ ልደቆም ብግዜ ብምምርዓው “ገዲም ላብ ስራሕ፣ መሸኒ ኣይትተነኻኽፋ” ይብልዎም፡፡	ድዚ ድፈልጡ ናጥንቲ ወለዲ ድደቆም ብገናኦም ብምምርዓው “ደግም ዳስራሕ፣ መሸኒ ኣይትለኻኽዩ” ይብሉዎም።
ንኣንስትዮ ይማርኹ እዮም ንዝበሃሉ ነገራት ብሙልኦም ይሰምዖም እየ።	ልኣንስትዮ/ኣንሽቲ ይማርኹ እዮም ልልበሃሉ ነገራት ብሙልኦም ይሰምዖም እየ።	ድጓላት ይስሕቡ ይኦም ድበሃሉ ነገራት ብሙሉኦም ይሰምዖም ይአ።
ንኹሉም ዘስማዕምዖም ብርአሱ ዝተኣማመን ሰብ ከምዝማርኸን እዩ።	ልኹሎም ለስማዕምዖም ብርእሱ ልተኣማመን ሰብ ሃምልማርኸይ እዩ።	ድኹሎም ዳስማምዖም ብባዕሉ ድተኣማመን ሰብ ሃምድስሕበን ይኡ።
ሓቂ እዩ ከዓ! ብዓርሱ ዘይተኣማመን ኣየንብረንን።	ሓቂ እዩ ለ! ብባዕሉ ለይተኣማመን ኣየንብረንይ።	ሓቂ ይኡለ! ብባዕሉ ደይትኣማመን የነበረንይ።
 ግን ድማ ባዶ ርአሱ ዘበለ ዝዛረቦ ስለ ዘይብሉ ፀጥ ኢሉ ፀግዑ ስለ ዝሓዘ ዓርሰ እምነት ዘለዎ ጌረን ከወስደኦ ይኽአላ እየን።	 ግን ለለ ባዶ ርአሱ ለበለ ልናገሮ ስለ ለይብሉ ፀጥ ኢሉ ፀግዑ ስለ ልሓዘ ዓርሰ እምነት ለለዎ ጌረን ክወስደኦ ይኽአላ እየን።	ግን ለለ ባዶ ርእሱ ድኾነ ኹሉ ድናገሮ ስለ ደይብሉ ኡሽ ዉሉ ፅግዓ ስለድድሓዘ ዓርሰ እምነት ድንሀዎ ገብረን ክሓስበኦ ክኾና ይአን።
ሓደ ሓዲኦም እንትረኣዩ ብዙሕ ዝረኣዩ፣ ብዙሕ ዝፈልጡ ዝመስሉ፤ ዘይኮንዎ ብምምሳሉምጥራሕ ኩለን ኣዋልድ አንትሻመያሉም ትርኢ።	ሓደ ሓዲኦም ትትረኣዩ ብዙሕ ልረኣዩ፣ ብዙሕ ልፈልጡ ልመስሉ፤ ለይኾንዎ ብምምሳሉም ጥራሕ ኹለን ኣዋልድ ትትሻመያሎም ትርኢ።	ሓድሓደኦም ትረአይለዉ ብዙሕ ድረአዩ፣ ብዙሕ ድፈልጡ ድመስሉ፣ ደይኾንዎ ብምምሳሎም ጥራሕ ኹለን ኣጓላት ክዋረርኦም ትርኢ።
 ብርግፅ ባዶ ርአሲ ምዃን ናይ ወረ ከይኮነስ ናይ ተግባር ሰብ ከትኸውን እውን ይገብረካ አዩ።	ብርግፅ ባዶ ርአሲ ምዃን ናይ ወረ ለይኾነስ ናይ ተግባር ሰብ ክትኾንለ ይገብረካ አዩ።	ብርግፅ ባዶ ርእሲ ምዃን ብደይ ናወረ ናተግባር ሰብ ትኾንለ ይገብረካ ይኡ።
ሓደ ሓዲኡ እንትፈጥሮ ኣብ ገፁ ዝንበብ ነገር ንኹሉ ነገር ዝረኣያ፣ መስተውዓልትን ጥበበኛታትን ዝመስላ የዕንቲ በፍንጭኡ የማንን ፀጋምን ብላዕላይ ወገን ስክዕ የብለሉ።	ሓደ ሓዲኡ ትትፈጥሮ ኣብ ገፁ ልንበብ ነገር ንኹሉ ነገር ልረኣየ፣ መስተውዓልትይ ጥበበኛታትይ ልመስላ ኣዕንቲ ብፍንጭኡ ብጉራይ ምዝጋይ ብላዕላይ ገፅ ሹኩዕ የብለሉ።	ሓደ ሓደኡ ትፍጠርሎ ኣብ ገፁ ድርአ ነገር ድኹሉ ነገር ድርአያ፣ መስተውዓልትይ ጥበበኛታትይ ድመስላ ኣዕንቲ ብፍንጫኡ ጉራይ ምዝጋይ ብላዕለይ መሳ ሽኩዕ ያብለሉ።
አዚኦም የዕንቲ ከም ዝኸድነን ጌሩ ኣፅብብ፣ ነተን ቅርንቡ ከዓ ሓፍ ኣቢሉ ብዕምቆት ዝተመሰጠ መሲሉ ነተን ኣዋልድ እንትሪአን ክወስደን ናብ ዝኽእለሉ ቦታ ምሕባር ጥራሕ እዩ ዝተርፈን፡፡	እዚኦም ኣዕንቲ ሃም ልኸደነይ ጌሩ ኣፅብብ፣ ልተን ቕርሚ ዓይኑ ለለ ሓፍ ኣቢሉ ብዑምቆት ልተመሰጠ መሲሉ ልተን ኣዋልድ ትትሪአን ክወስደን ላብ ልኽእለሉ ቦታ ምሕባር ጥራሕ እዩ ልቐርየን፡፡	እዞሙ ኣዕንቲ ሃም ድኽደን ገውሩ እፅብብ፣ ድተን ቅርንቡ ለ ሓፍ ኣብሉ ካውሽጡ ድትሰሓበ መስሉ ድተን ጓላት ትርእየንሎ ክወስደን ዳድምችዎ ቦታ ምርኣይ ጥራሕ ይኡ ድቓርየን።
ንኸማይ ዝበለ ክዓ ቁርሲ ዝተኽልክለ በኻዪ ህፃን ዝመስል ገፅ ይህቦኦ፡፡	ልሃማይ ልበለ ለለ ቑርሲ ልተኽልኸለ በኻዪ ህፃን ልመስል ገፅ ይህቦኦ፡፡	ድ ሃም ኣነ ድበለ ለለ ቁርሲ ና ድትኻለአ በኻይ ቆልዓ ድመስል ገፅ ይህበኦ።
እሞ እንትሪአን ናብ ካሊአ ገፅ ከጥምታ ይገብረን፡፡	እሞ ትትሪአን ላብ ኻሊእ ገፅ ክጥምታ ይገብረን፡፡	 ካውኡ ትርእይለባኒ ዳኻልእ ገፅ ክርእያ ይገብረን።
ገፀይ እዩ ምንም ክገብሮ ኣይኽእልን፡፡	ገፀይ እዩ ምንም ክገብሮ ኣይኽእልይ፡፡	ገፅይ ይኡ ታም ክዓዮ፤ ምንም ክገብሮ የኽእልይ።
ብዛዕባ ኣዋልድ እንትንዘራረብ “ንዝብኢ እተምልጦ ንኣድጊ ተፀጊዕኻ አዩ“ በለኒ ሓደ ብሰንኪ ስጋዊ ምኽንያት ነቱ ናይ ክህነት ዓለም ገዲፉ ናብ ንግዲ ዝኣተወ ሰብ።	ኣብ ኣዋልድ ልምልከት ትትንናገር “ልዝብኢ ተምለጥኹዎ ልኣርጊ ተፀጊዕኻ አዩ“ በለኒ ሓደ ብሰንኪ ስጋዊ ምኽንያት ልቱ ናይ ክህነት ዓለም ሓዲጉ ላብ ንግዲ ልኣተወ ሰብ።	ስለ ጓላት ትዛራረብለና “ድዝብኢ ታምልጦ ዳ ኣርጊ ትፀግዕኻ ይኡ” በለኒ ሓደ ብሰንኪ ስጋዊ ምኽንያት ድቲ ናክህነት ዓለም ሓድጉ ዳንግዲ ድገብአ ሰብ።
 ካብ ኩሉም ዝተፈለየ መልሲ ነይሩ ዝሃበኒ።	ካብ ኹሉም ልተፈለየ መልሲ ነይሩ ልሃበኒ።	ካኹሉ ድትፈለየ መልሲ ይኡ ድሃበኒ።
ከም ካልኦት ዓርሰ ምትእምማን ኣይበለኒን፤ ኣዚሩ ብኻሊእ ኣንፈት።	ሃም ኻልኦት ዓርሰ ምትእምማን የበለንይ፤ ኣዚሩ ብኻሊእ ኣንፈት።	ሃም ኻልኣት ዓርሰ ምትእምማን የበለንይ፤ ኣዛውሩ ብኻልእ ገፅ።
“ቀዳማይ …”  …" ሕራይ ሰላማዊች...”  	“ቐዳማይ …”  … " እሺ ሰላማዊት...”     	“ቓደማይ …” … “እሺ ሰላማዊት…”
“ቀዳማይ!" ትብል ሰላማዊት፡፡	"ቐዳማይ!" ትብል ሰላማዊት፡፡	“ቓደማይ ! ”ውላ ሰላማዊት።
ካልኦትኩም ከ？ “ቀዳማይ ... ቀዳማይ ...”	ኻልኦትኹም ኸ？ “ቐዳማይ ... ቐዳማይ ...”	ኻልኣትኹም ኸ？ “ቓደማይ … ቓደማይ …”
ኢዱ ሓፍ እንተብሉ ኣብ ኩርናዕ ኢዱ ቾክ ተለኪዩ ኣሉ።	ኢዶም ሓፍ ተበሉስ ኣብ ኹርናዕ ኢዱ ቾክ ተለምጡጡ እኒሆ።	እዱ ሓፍ ታብሎሎ ኣብ ኹርናዕ እዱ ቾክ ትፀይቑ እንሆ።
ሳልሳይ ከም ዝኾና እንትነግረና ንስሕቕ፡፡	ሳልሳይ ሃም ልኾና ተፀወየና ንስሕቕ፡፡	ሳልሳይ ሃም ድኾና ትፀውየናሎ ንስሕቕ።
ዝሰሓቕና ኩለና ምስ ዓበና ሳልሳይ ዓለም አንታይ ከም ዝኾነ ንርዳእ።	ልሰሓቕና ኹለና ምስ ዓበና ሳልሳይ ዓለም አንታይ ሃም ልኾነ ንርዳእ።	ድስሓቕና ኹልና ብድዓብይና ሳልሳይ ዓለም ሃመይ ሃም ድኾነ ንፈልጥ።
ድንቁርና፣ ሕማም፣ ጥሜት፣ ዕግርግር፣ ኩናት፣ ጎንጺ፣ ዓመፅ፣ ስራሕ ምስኣን፣ ለበዳ፣ ዘርኣዊነት፣ ድኽነት፣ ሕሾት፣ ምግላል፣ ናፋቓይነት፣ ላዕለዋይነት፣ ኣነ ይፈልጠልካ፣ ኣነ ይሕሸካ፣ ጭቆና፣ ታሪኽ ምዝባዕ፣ ሕጊ ምጥሓስ ... ነዚ ኹሉ ንወርስ፡፡	ድንቁርና፣ ሕማም፣ ጥሜት፣ ዕግርግር፣ ኩናት፣ ጎንጺ፣ ዓመፅ፣ ስራሕ ምስኣን፣ ለበዳ፣ ዘርኣዊነት፣ ድኽነት፣ ሕሾት፣ ምግላል፣ ናፋቓይነት፣ ላዕለዋይነት፣ ኣነ ይፈልጠልኻ፣ ኣነ ይሕሸካ፣ ጭቆና፣ ታሪኽ ምዝባዕ፣ ሕጊ ምጥሓስ ... ልዙይ ኹሉ ንወርስ፡፡	ድንቁርና፣ ሕማም፣ ጥመት፣ ዕግርግር፣ ጦርነት፣ ረብሻ፣ ዓመፅ፣ ስራሕ ምስኣን፣ ለበዳ፣ ዘርኣውነት፣ ድኽነት፣ ሕሾት፣ ምግላል፣ ፋቓዓይነት፣ ላዕለዋይነት፣ ኣነ ፈልጠልኻ፣ ኣነ ሐሸካ፣ ጭቆና፣ ታርኽኻ ምዝብራቕ፣ ሕጊ ምጥሓስ… ድዚ ኹሉ ንወርስ።
ወሪስና ከይቀየርና ናብ ዝቕፅል ብግደና ነውርስ፡፡	ወሪስና ከይቀየርና ላብ ልቕፅል ብጊደና ነውርስ፡፡	ወርስና ለለ ዕፃና ዳድመፅእ ናውርስ።
ማስርነት፣ ኣፍልጦ ምሃብ፣ ብዘይ መኽበራይ ሕጊ ኣገዳዳይነት ሕጊ ምኽባር ዝኣምሰሉ ኣይፍለጡን፡።	ማስርነት፣ ኣፍልጦ ምሃብ፣ ብለይ መኽበሪ ሕጊ ኣገዳይነት ሕጊ ምኽባር ልበሉ ኣይፍለጡይ፡።	ማዓርነት(ቓንጪ)፣ ምምስጋን፣ ብደይ ሕጊ መኽበሪ ምግዳድ ሕጊ ምኽባር ድመሰሉ ኣይፍለጡይ።
ነዚኦም ተቐቢሉ ንወለዶ ካብ ምቕያር ንዓርስኻ ኣሕሊፍካ ብምሃብ፤ ብክቢድ ፀልማት በዓቲ ሞት ሓሊፍካ ብርሃን ካልኦት ምርካብ ይቋመቱ።	ልዚኦም ተቐቢሉ ልወለዶ ካብ ምቕያር ልባዕልስኻ ኣሕሊፍኻ ብምሃብ፤ ብኸቢድ ፀልማት በዓቲ ሞት ሓሊፍካ ብርሃን ካልኦት ምግናይ ይቋመቱ።	ድዞሙ ትቓብሉ ድትውልዲ ካምቕያር ድባዕልኻ ኣሕልፍኻ ብምሃብ፣ ብኻብድ ፀልማት በዓልቲ ሞት ሓልፍኻ ብርሃን ኻልኣት ምግናይ ይመዓደዉ።
ካብ በላሕቲ ኣስናን ሞት ኣምሊጦም ናይ ካልኦት ስልጣነ ኣብ ዘለዎ ዓለም እንተበዒሖም ከይፈተዉ ናይ ግድን ከም እኒ፡ ማዕርነት፣ ኣፍልጦ ምሃብ፣ ንሕሊናኻ ኢልካ ሕጊ ምኽባር ዝኣምሰሉ ክቕበሉን ክለምዱን ይግበሩ፡።	ካብ በላሕቲ ኣስናን ሞት ኣምሊጦም ናይ ካልኦት ስልጣነ ኣብ ለለዎ ዓለም ተበፂሖም ተይፈተዉ ናይ ግድን ሃም እሊ፡ ማዕርነት፣ ኣፍልጦ ምሃብ፣ ልሕሊናኻ ኢልኻ ሕጊ ምኽባር ልበሉ ክቕበሉይ ክለምዱይ ይግበሩ፡።	ካበላሕቲ ኣስናን ሞት ቓንጥሮም ናኻልኣት ስልጣነ ኣብ ድንሀዎ ዓዲ እንድሕር በፅሖም ተይፈተዉይ ብግዲ ሃምሊ ቓንጪነት፣ ምምስጋን፣ ድህልናኽ ብልኻ ሕጊ ምኽባር ድመሰሉ ክቅበሉይ ክለምዱይ ያገድዱዎም።
ዋላ ናይ ሰብ ምስ ተቐበሉ ግና አቲ ስምዒት ባዶነት ወይ ጎዶሎነት ኣይፍለዮምን፡፡	ዋላ ናይ ሰብ ምስ ተቐበሉ ግና ዙ ስምዒት ኣልቦነት ወይ ጎዶሎነት ኣይፍለዮምይ፡፡	ዋላ ናሰብ ብትቓበሉ ግን እቲ ስምዕት ባዶነት ወይ ጎዶሎነት ኣይፍለዮምይ።
ንዓርሱ ዘይተቐበለ ወትሮ ጎዶሎነት ክስምዖ ግድን እዩ።	ልባዕሉ ለይተቐበለ ወትሮ ጎዶሎነት ክስምዖ ግድን እዩ።	ድባዕሉ ደይትቓበለ ወትሮ ጎዶሎነት ክሓድሮ የግዲ ይኡ።
ነዚ ጎደሎ ዝመልአዎ ካብ ካልኦት ስልጣነታት ካብ ዝተኻፈልዎ ሃፍቲ  ተጠቂሞም ገዲፎምዋ ዝመፁዋ ዓዶም ውሽጢ ኩናት ኣዋጅ ክእወጅ ጎስጓስ መግበሪ ይገብርዎ፡፡	ልዚ ጎደሎ ልመልእዎ ካብ ኻልኦት ስልጣነታት ካብ ልተኻፈልዎ ሃፍቲ ተጠቒሞም ሓዲጎምዎ ልመፁዋ ዓዶም ውሽጢ ኩናት ኣዋጅ ክእወጅ ጎስጓስ መግበሪ ይገብርዎ፡፡	ድዚ ጎዶሎ ድመልእዎ ካኻልኣት ስልጣነታት ካድትኻፈሉዎ ሃፍቲ ትጠቅሞም ሓድጎማ ድመፁ ዓዶም ውሽጢ ናጦርነት ኣዋጅ ክእወጅ ሃም መእመኒ ያገልግሎም።
ኣብቲ ሳልሳይ ዓለም ዝተረፈ፣ ናታቶም ።	ኣብዙ ሳልሳይ ዓለም ልተረፈ፣ ናታቶም።	ኣፍቲ ሳልሳይ ዓለም ድተረፈ፣ ድኣቶም።
“እሺ ንስኻ ኸ - ከትፍቀር ዲኻ እትደሊ ከተፍቅር?” ኢላ ሓቲታቶ፡፡         	“እሺ እስኻ ኸ - ክትፍቀር ዲኻ እትደሊ ከተፍቅር?” ኢላ ጠይቓቶ፡፡        	“ጨለ እስኻ ኸ ታፍቅር ደኻ ትደሊ ትፍቀር?” ብላ ጠይቓቶ።
ናይዚ ሕቶ ረብሓ ኣይተረደኦን ነይሩ።	ናይዙ ሕቶ ጥቕሚ የተረደኦይ ነይሩ።	ናዚ ሕቶ ጥቕሚ ኣይትረድኦይ ነውሩ።
 እንታይ ከም ዝምልስ እንትደናገር ነዓዓ እኹል መልሲ እዩ ነይሩ።	ታይ ሃም ልምልስ ትትደናገር ልኣየ እኹል መልሲ እዩ ነይሩ።	ታ ሃም ድምልስ ድንግርግር ትዉሎ ድኣ መልሲ ይኡ ነውሩ።
ኣዋልድ ንደመ ነፍሰን  ዝቐረባ እየን።	ኣዋልድ ንደመ ነፍሰን ልቐረባ እየን።	ጓላት ድደመ ነፍሰን ድቓረባ ይአን።
ፀኒሑ ግና “ክልቲኡ” ኢሉ መሊስለላ።	ፀኒሑ ግና “ክልቲኡ” ኢሉ መሊሱላ።	ፅንሕንሕ ዉሉ ግን “ኽልተኡ” ዉሉ መልሱላ።
“ኣይ፤ ሐዲኡ ምምራፅ ግድን እንተዝኸውን ኸ?” ኢላቶ።	“ኣይ፤ ሐዲኡ ምምራፅ ግድን ተልኾን ኸ?” ኢላቶ።	“ኣይ፤ ሓደኡ ምሕራይ የግዲ ካድኾን ኸ ” ብላቶ። 
ዝብሎ ክትሰምዕ እምበር ገዲም መልሱ ኣይትደልዮን ነይራ፡።	 ልብሎ ክትሰምዕ እምበይ ገዲም መልሱ ኣይትደልዮይ ነይራ፡።	ድብሎ ትሰምዕ ደኣም ደግም መልሱ ኣይትደልዮይ ነብራ። 
ኣፍቂረ እንድሕር ዘይተፈቒረ እንታይ ከዓብሰለይ ኢሉ ሓሲቡ። 	ኣፍቂረ እንድሕር ለይተፈቒረ ታይ ክዓብሰለይ ኢሉ ሓሲቡ።	ኣፍቕረ እንድሕር ደይትፈቕረ ታ ክዓየለይ ብሉ ሓስቡ።
 “ክፍተው እየ ዝደሊ" ኢሉ መሊሱላ።	 “ክፍተው እየ ልደሊ" ኢሉ መሊሱላ።	“ክፉተው ይአ ድደሊ” ብሉ መልሱላ።
ዝጠርጠረቶ መልሲ እዩ ነይሩ፡፡	ልጠርጠረቶ መልሲ እዩ ነይሩ፡፡	ድጠርጠረቶ መልሲ ይኡ ነብሩ።
ኣይተፈለጦን አምበር ድሕሪ እዚ ንዑዑ ቦታ ኣይነበራን።	ኣይተፈለጦይ እምበይ ድሕሪ ዙ ልእኡ ቦታ የነበራይ።	ኣይፈለጦይ ድኣም ብድሕሪ’ዚ ድኡ ቦታ የነበራይ።
ሕዚ እንትዝከር እዩ ናይዚ መልሲ ጣጣ እውን ዝተርኣዮ።	ኸዚ ትትዝከር እዩ ናዙ መልሲ ጣጣለ ልተርኣዮ።	ሐዚ ትዝክሮሎ ይኡ ናዚ መልሲ ጣጣ ድርአየሎ።
ናይማን እንተዝፈትዋ ነይረ እኮ 'ከፍቅር እየ ዝደሊ' ኢለ ከምልሰላ ነይረ እየ።	ናማን ተልፎትዋ ነይረ እኮ 'ከፍቅር እየ ልደሊ' ኢለ ክምልሰላ ነይረ እየ።	ናማን ካድፈትዋ ነብረ ኮ “ካፍቅር ይአ ድደሊ” ብለ ክምልሰላ ነብረ ይአ።
ኣየፍቅራን ነይረ ማለት ድዩ ኢሉ ንዓርሱ ሓቲቱ ናብ ጥርጣርኡ ተመሊሱ።	ኣየፍቅራይ ነይረ ማለት ድዩ ኢሉ ልባዕሉ ጠይቁ ላብ ጥርጣርኡ ተመሊሱ።	ኣያፍቅራይ ነብረ ማለት ድዩ ብሉ ድባዕሉ ጠይቑ ዳ ጥርጣረኡ ትመልሱ።
ንሳ ንኽትኸፍል ግርማይ ብምፍቃዱ እቲ ኣተኣናጋዲ ተናዲዱ ።	እሳ ልኽትኸፍል ግርማይ ብምፍቃዱ እቲ ኣተኣናጋዲ ተናዲዱ።	እሳ ትኻፍል ግርማይ ብምፍቓዱ እቲ መሰለፊ ትናዱ።
እንተዋግዑ ኣብ ዝሪኦም ግዘ ብፍቕራ ጥዋዕ ኢሉ ኣሎ እናበለ እዩ ይሓስብ ዝነበረ።	ትተዋግዑ ኣብ ልሪኦም ግዘ ብፍቕራ ጥዋዕ ኢሉ እኒሆ ላበለ እዩ ልሓስብ ልነበረ።	 ታዋግዕለዉ ኣብ ድረአዮም ሰዓት ብፍቕራ ሙይት ብሉ እንሆ ላበለ ይኡ ድሓስብ ድነበረ።
በቲ ከይተፅሓፈ ሕገ ደንቢ መሰረት ከዓ ዘፍቀረ ወዲ ብፍፁም ዘፍቀራ ከትኸፍል ከፈቅድ ኣይግበኦን - ብፍፁም።	ብቱ ከይተፅሓፈ ሕገ ደንቢ መሰረት ለለ ለፍቀረ ወዲ ብፍፁም ለፍቀራ ክትኸፍል ከፈቅድ ኣይግበኦይ - ብፍፁም።	ብቲ ደይትፅሓፈ ስነ-ስርዓት ኣብሉ ለለ ዳፍቐረ ወዲ ትኣምር እንድሕር ደይኾነ ዳፍቐራ ጓል ኣይትኻፍልይ - ብትኣምር።
“ካርዲ ኣለና እንዶ ኣይበልክን ትሕሽዊ ኢኺ ማለት እዩ በቃ ኣይኣምነከን” ኢልዋ፡፡	“ካርዲ እኒሀናዶ የበልኽይ ትሕሽዊ ኢኺ ማለት እዩ በቃ ኣይኣምነክይ” ኢልዋ፡፡	“ካርዲ እንሀናዶ የበልኽይ ትሕሽዊ የኺ ማለት ይኡ በቃ ኣይኣምነክይ ” ውሉዋ።
ፍሸኸ ኢላ፣ “ንቫለንታይን ደኣ እነታይ ሓሲብካ? ” እናበለት ካብ ምሕታት ንዓርሳ ከትዓግት ኣይከኣለትን፡፡	ፍሸኸ ኢላ፣ “ልቫለንታይን ማ ታይ ሓሲብኻ?” ላበለት ካብ ምሕታት ልባዕላ ክትዓግት የኸኣለትይ፡፡	ኽምስ ውላ፣ “ድቫላንታይን ኸ ታ ሓስብኻ? ” ላበለት ድባዕላ ካምሕታት ዓዲ ኣይወዓለትይ።
ምስ አዚ ኹሉ ወግዒ ፍቕሪ ደኣ ቫለንታይን ከመይ ገይራ ከትዘሎ።	ምስ ዙ ኹሉ ወግዒ ፍቕሪ ደኣ ቫለንታይን ሃመይ ኣቢላ ክትዘሎ።	ምዚ ኹሉ ወግዒ ፍቕሪማ ቫላንታይን ሃመይ ገብራ ትዘሎ።
“ሓንቲት ቆልዓ ኣላ ከሓትታ እየ" ኢሉ መሊሱላ።	“ሓንቲት ቆልዓ እኒሃ ክጥይቓ እየ" ኢሉ መሊሱላ።	“ሓንቲ ቆልዓ እንሃ ክጥይቓ ይአ” ብሉ መልሱላ።
ብውሽጡ ንሳ ቫለንታይኑ እንትትኾን እናተርኣዮ፣ ዕምበባ እንትህባ፣ ብሽምዓ ተዓጂቦም ወይኒ እናጠዓዓሙ እንትፃወቱ ይረአዮ ነይሩ፡፡	ብውሽጡ እሳ ቫለንታይኑ ትትኾን ላተርኣዮ፣ ዕምበባ ትትህባ፣ ብሽምዓ ተዓጂቦም ወይኒ ላጠዓዓሙ ትትጫወቱ ይረአዮ ነይሩ፡፡	ብውሽጡ እሳ ቫለንታይኑ ትኾንላ ላትርአዮ፣ ዕምበባ ትህባሎ፣ ብሽምዓ መልክዖም ወይኒ ላጠዓዓሙ ትጫወትለዉ ላትርአዮ ነብሩ።
ሕዚ ትርጉም ፍቕሪ ቀሊሉ ኣሎ።	ኸዚ ትርጉም ፍቕሪ ቐሊሉ እኒሆ።	ሐዚ ናፍቕሪ ትርጉም ቓልሉ እንሆ።
ፍቕሪ ዝተሓላለኸ ከልሰ ሓሳብ ኣይኮነን።	 ፍቕሪ ልተሓላለኸ ክልሰ ሓሳብ የኾነይ።	 ፍቕሪ ሕልኽልኽ ድበለ ክልሰ ሓሳብ የኾነይ።
ፍቕሪ ከም ተውህቦ እዩ፣ ዘለዎ እዩ ዝፈልጦ።	 ፍቕሪ ሃም ተውህቦ እዩ፣ ለለዎ እዩ ልፈልጦ።	 ፍቕሪ ሃም ውህብቶ ይኡ፣ ድንሀዎ ይኡ ድፈልጦ።
